_id,ETSB Name,Report Year,Population,Contact,Contact Email,Contact Phone,Illinois Surcharge,Wireline Surcharge,VoIP Surcharge,Local Funds,Grant Funds,Interest Income,Contractual Services Revenue,Other Revenue,BOY Reserve Balance,Expenses Not Classified Above,Operating Expenses,Primary PSAPS,Secondary PSAPS,Infrastructure,Call Taking,Radio,CAD,Mapping,EMD,Other Equipment/Software,Coordinator/Director Salary,Telecommunicators Salaries,Mapping/GIS Salaries,Technical/IT Salaries,Other Salaries,Fringe Benefits,Capital Improvements,Leases,Utilities,Emergency Backup,Insurance,Furniture/Fixtures,Office Supplies,Other Facility Costs,Telephone/9-1-1 Trunks,NG 9-1-1/ESInet,Microwave/Broadband,Training/Memberships,Travel,Membership Dues,Legal,Audit,Translation,Contract Fees to Other 9-1-1,Other Professional Services,State Consol. Grant Funds,Remaining Cash Balance,Vehicle,Mobile Data Terminals,Software Licenses,Voice/Data Logging Recorder,Other Personnel Cost,Radio Ciruits,Conferences,Certifications,Public Education,Mapping/Addressing/GIS Professional Services
11,Adams County 9-1-1,2020,"65,435",Jessica Douglas,jdouglas@co.adams.il.us,217-228-4572,993466,0,0,1056401,207842,16461,0,0,1454828,0,0,1,0,0,0,261360,50308,0,18000,0,69942,789579,0,58346,60830,480713,9036,0,17015,11448,20082,15118,2778,15409,15786,0,0,5578,0,142,0,1950,40,0,0,0,0,727,0,0,85647,1845,1261,812,0,0,0
12,Alexander County 9-1-1,2013,"8,238",Becky Kleckner,bekec12@gmail.com,618-748-9890,0,79154.4,0,0,0,88.46,0,60,452569.28,2990.97,31015.01,0,0,0,0,2299.68,0,0,0,0,16614.88,18000,0,14040,15638.42,1156,0,1595.11,1787.28,0,1064,0,560,32,1204.87,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alexander County 9-1-1,2014,"8,238",Becky Kleckner,bekec12@gmail.com,618-748-9890,0,66010.4,0,0,0,12.29,0,35,426273.93,2360.08,3640.42,0,0,0,0,1155.39,5500,0,0,0,14923,25000,0,5720,15458.42,468,0,1064.85,1983.39,0,0,0,543.89,168,24282.66,0,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alexander County 9-1-1,2015,"8,238",Becky Mueller,pulaski911@gmail.com,618-748-9890,0,54141.58,0,0,0,1354.57,0,0,388647,1378.01,0,0,0,340,0,1328.01,3750,250,0,0,13999.96,20000,0,0,13999.96,0,0,0,1394.74,0,0,0,317.84,346.58,12858,0,0,0,0,0,0,0,0,0,5901.2,0,0,0,0,0,0,0,0,0,0,0,0
15,Alexander County 9-1-1,2016,"8,238",(*blank*),jfear@unioncountyil.gov,(*blank*),0,47187.43,0,0,0,4688.76,0,0,368279,1284.21,0,0,0,0,6576.31,1551.56,1125,1420,0,0,13999.96,0,20000,0,13999.96,0,0,275,1143.91,0,0,0,126.26,0,24618.57,0,0,466.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alexander County 9-1-1,2017,"6,478",Crystal Gurley,cgurley@unioncountyil.gov,618-833-5442,64887.87,0,0,0,0,201.65,0,0,297894.34,0,0,1,0,3952.88,3952.88,1709.54,1500,0,0,0,27838.69,20000,0,0,0,0,0,0,2938.75,0,0,0,719.77,0,0,0,0,929.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alexander County 9-1-1,2018,"6,478",Crystal Gurley,cgurley@unioncountyil.gov,618-833-5442,60510,0,0,0,0,0,0,0,299442,0,0,1,0,0,0,947,1500,0,0,0,21000,20000,0,0,0,0,0,0,2515,0,0,0,2889,0,1077,0,0,930,0,0,4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Alexander County 9-1-1,2019,"8,238",Crystal Gurley,cgurley@unioncountyil.gov,618-833-5442,16502.61,0,0,0,0,0,0,0,335580.34,0,0,1,0,0,0,520.62,0,0,0,0,4846,5000,0,0,0,0,0,0,681.86,0,0,0,0,0,489.97,0,0,254.91,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Alsip,2013,"19,419",Lt. Scott Zablonty,Szablonty@voamail.org,708-385-6902 Ext:255,156010,40762,14546,0,0,0,0,211527,709919,0,0,1,0,27739,0,158688,0,0,103467,14421,0,100000,0,0,0,0,0,0,0,0,0,0,885,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alsip,2014,"19,427",Lt. Scott Zablonty,Szablonty@voamail.org,708-385-6902 Ext:255,134933,33836,15902,0,0,0,0,205260,649389,0,0,1,0,0,0,70983,0,0,55799,15540,0,100000,0,0,0,0,0,0,0,0,0,0,380,0,48375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Alsip,2015,"19,427",Lt. Scott Zablonty,Szablonty@voamail.org,708-385-6902 Ext:255,0,184671,0,0,0,0,0,205260,649389,0,0,1,0,0,0,70983,0,0,55799,15540,0,100000,0,0,0,0,0,0,0,0,0,0,380,0,48375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Alsip,2016,"19,346",(*blank*),szablotny@voamail.org,(*blank*),135305,25327,20890,0,0,0,0,185439,701143,0,0,1,0,0,0,3539,0,0,49395,13147,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,36034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Alsip,2017,"19,158",Jay Miller,Jmiller@villageofalsip.org,708-385-6902,183321,0,0,0,0,0,0,158028,0,0,390,1,0,281513,0,0,0,0,71167,0,0,436590,0,0,0,0,0,0,0,0,0,0,0,0,56722,0,0,0,0,451,0,0,0,0,0,0,639279,0,0,0,0,0,0,0,0,0,0
24,Barrington,2013,"10,327",Bruce Peterson,bpeterson@barrington-il.gov,847-304-3602,107436.12,68947.05,0,0,0,371.09,0,0,239349,0,0,1,0,0,0,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172183,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Barrington,2014,"10,327",Bruce Peterson,bpeterson@barrington-il.gov,847-304-3602,100033.79,66033.17,0,0,0,315.76,0,0,226320,0,0,1,0,0,0,30178.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129821.84,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Barrington,2015,"10,327",Bruce Peterson,bpeterson@barrington-il.gov,847-304-3602,97997,65846,0,0,0,275,0,0,232703,0,0,1,0,0,0,113305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Barrington,2016,"10,327",(*blank*),bpeterson@barrington-il.gov,(*blank*),107993,63771,0,0,0,0,0,0,148516,0,0,1,0,0,0,17043,0,0,0,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281873,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Barrington Hills,2013,"4,209",JoAnne R. Gumprecht,jgumprecht@vbhpd.net,847-551-3006,17804.47,28264.04,12769.05,0,0,44.35,0,0,39641.55,0,0,1,1,0,25162.4,217.85,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11060,0,0,125,833.28,130,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Barrington Hills,2014,"4,209",JoAnne R. Gumprecht,jgumprecht@vbhpd.net,847-551-3006,16776.29,26684.65,13528.55,0,0,58.25,0,1016,54385.1,0,0,1,1,813.75,12216.52,155.94,0,1684.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11102.11,0,0,0,1999.52,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Barrington Hills,2015,"4,209",JoAnne R. Gumprecht,jgumprecht@vbhpd.net,847-551-3006,19144.27,21471.41,16497.47,0,0,73.7,0,0,72872.8,0,166,1,0,0,35405.52,424.75,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11114,0,0,425,799.68,411,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Barrington Hills,2016,"4,209",(*blank*),jgumprecht@vbhpd.net,(*blank*),16656,19590,12514,0,0,77,0,0,74554,0,0,0,0,2425,35413,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9597,0,0,0,0,0,273,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
32,Bedford Park ETSB,2013,600,Adrienne Svetich,Asvetich@bedfordparkpd.com,708 458 3388,11042,21450,5613,0,191625.28,601.05,0,0,0,839.76,0,1,1,30952.66,20718,0,8721,13571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.04,668,15668,0,0,0,1653,331,0,0,0,0,3296,0,0,0,0,0,0,0,0,0,0,0,0
33,Bedford Park ETSB,2014,600,Adrienne Svetich,Asvetich@bedfordparkpd.com,708 458 3388,8796,18996,2147,0,154462.76,580.78,0,55038.28,0,0,0,1,1,13960.68,21753.9,201,8721,7500,0,0,21250,0,0,0,0,0,0,0,0,0,0,0,339.71,633.65,16868,0,0,0,2326.79,1292,0,0,0,0,1730,0,0,0,0,0,0,0,0,0,0,0,0
34,Bedford Park ETSB,2015,600,Adrienne Svetich,asvetich@bedfordparkpd.com,708.458.3388,0,29300,0,0,162095,475,0,46209,492326,0,0,1,1,23044,21754,0,8721,0,0,0,21832,0,0,0,0,0,0,0,0,0,0,14674,0,0,13780,0,0,0,0,137,0,0,0,0,3829,0,0,0,0,0,0,0,0,0,0,0,0
35,Bedford Park ETSB,2016,600,(*blank*),ASVETICH@BEDFORDPARKPD.COM,(*blank*),13776.98,12747.02,0,0,151209,366,0,0,614417.39,2464,0,1,0,14790,124588,0,74433,0,0,0,22432,0,0,0,480,0,0,0,0,0,0,1318,407,11017,15021,0,0,0,0,672,0,0,0,0,17124,0,0,0,0,0,0,0,0,0,0,0,0
36,Bellwood 9-1-1,2013,"19,071",David Lippard,dalippard@usa.net,708 547 3500 x 1503,103186.11,86940.99,0,0,0,309.52,0,0,202770,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516632,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bellwood 9-1-1,2014,"19,071",David Lippard,dalippard@usa.net,708 547 3500 x 1503,146889.21,62017.96,0,0,0,525.09,0,0,226050.75,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486527,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Bellwood 9-1-1,2015,"19,071",David Lippard,dalippard@usa.net,708 547 3500 x 1503,106044.95,58654,0,0,0,407,0,0,238332,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553797,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Bellwood 9-1-1,2016,"156,311",(*blank*),dnielsen@norcomm911.com,(*blank*),110895.59,57416.99,0,0,0,139.74,0,0,230519.15,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17495.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570542.52,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Berkeley,2013,"5,300",Phillip J. Smith,psmith@Berkeley.il.us,708-449-8224,34126,20343,0,0,0,1510,0,0,346407,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966,0,0,0,0,0,0,0,0,0,0,0,0
41,Berkeley,2014,"5,300",Phillip J. Smith,psmith@Berkeley.il.us,708-449-8224,22812,27779,0,0,0,257,0,0,409237,445,0,1,1,1819,0,0,12394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
42,Berkeley,2015,"5,300",Phillip J. Smith,psmith@Berkeley.il.us,708-449-8224,15270,32615,0,0,0,433,0,0,404475,465,0,1,1,1635,0,840,22773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Berkeley,2016,"5,209",(*blank*),psmith@berkeley.il.us,(*blank*),48076,7898,7408,0,0,440,0,0,383064,0,0,1,1,0,0,0,21016.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16018.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Berwyn,2013,"56,750",Curtis A. Nekovar,Cnekovar@ci.berwyn.il.us,708-795-2114,319502,102859,50554,0,0,3971,0,0,674823,1562,0,1,0,26414,22049,34229,45665,0,0,0,50000,150000,0,0,0,0,82895,0,0,6422,0,0,0,0,6543,0,0,5053,0,0,1300,0,724,0,36129,0,0,0,0,0,0,0,0,0,0,0,0
45,Berwyn,2014,"56,758",Curtis A. Nekovar,Cnekovar@ci.berwyn.il.us,708-795-2114,288429,91244,53635,0,0,3469,0,1975,682726,816,0,1,0,14996,27312,9760,31395,0,4435,0,50000,150000,0,0,0,0,77853,0,0,4578,0,0,0,0,14020,0,0,3522,706,0,0,0,829,0,27909,0,0,0,0,0,0,0,0,0,0,0,0
46,Berwyn,2015,"56,758",Curtis A. Nekovar,Cnekovar@ci.berwyn.us,708-795-5600,260065,80884,56125,0,0,3704,0,300,703347,2032,120,1,0,17303,20782,15310,31341,0,6757,0,50000,150000,0,0,0,0,16614,0,0,11303,0,0,0,0,33640,0,0,3963,1953,92,400,0,897,0,30670,0,0,0,0,0,0,0,0,0,0,0,0
47,Berwyn,2016,"56,657",(*blank*),T'Ohalloran@ci.berwyn.il.us,(*blank*),277577,72468,61462,0,0,2898,0,0,711248,569,2389,1,0,18813,20832,19631,50030,0,10534,0,37500,112500,0,0,0,0,21119,0,0,8903,0,0,0,0,34208,0,0,3249,867,253,495,0,752,0,35561,0,0,0,0,0,0,0,0,0,0,0,0
48,Berwyn,2017,"55,748",Wayne Sedore,WSedore@ci.berwyn.il.us,708-795-2119,420505,0,0,0,0,5555.11,0,0,786500,1132,2723,1,0,26051,0,75766,36950,7812,4435,3876,0,0,0,0,0,0,0,0,0,11231,0,0,0,200,0,0,12902,6015,0,856,1600,0,691,0,32590,0,117952,0,0,0,0,0,0,0,0,0,0
49,Berwyn,2018,"55,550",Wayne D. Sedore,Wsedore@ci.berwyn.il.us,708-795-2119,688683,0,0,0,0,9455,0,0,720665,0,0,1,0,21960,1044,763906,38394,0,4435,4409,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,14168,6052,0,998,550,0,367,0,0,0,385017,0,0,0,500,0,69557,0,0,0,0
50,Berwyn,2019,"55,550",Wayne D. Sedore,Wsedore@ci.berwyn.il.us,708-795-2119,768387,0,0,0,0,13144,0,0,805000,0,2749,1,0,22230,0,563490,101837,0,4435,1169,0,0,0,0,0,0,0,0,0,4896,0,0,0,0,0,0,20912,9251,0,0,1947,0,788,0,45392,0,45611,0,0,0,0,0,137254,0,380,0,0
51,Berwyn,2020,"55,550",Wayne D. Sedore,Wsedore@ci.berwyn.il.us,708-795-2119,805581,0,0,0,0,5955,0,0,627957,0,0,1,0,0,22195,171468,65404,20319,4435,0,0,0,0,0,0,0,0,0,0,48129,0,3663,1212,0,0,0,18708,5117,0,1035,0,0,676,0,0,0,87456,0,62862,0,0,0,215704,0,120,2990,0
52,Blue Island 9-1-1,2013,"52,604",James P. McGeever,jmcgeever@bipolice.org,708-396-7087,193048.6,67527.26,0,0,0,0,695580,0,0,9750,0,1,1,0,0,4400,0,0,0,0,0,903920,0,0,0,154693,0,0,100260,0,0,0,811,0,151391,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0
53,Blue Island 9-1-1,2014,"52,604",James P. McGeever,jmcgeever@bipolice.org,708-396-7087,172308.14,62786.94,0,0,0,0,503660,0,0,9100,0,1,1,0,0,0,0,0,0,0,0,894148,0,0,0,157404,0,0,102277,0,0,0,1126,0,306614,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0
54,Blue Island 9-1-1,2015,"52,604",James P. McGeever,jmcgeever@bipolice.org,708-396-7087,104111.38,49580.63,0,0,0,0,431814,0,0,0,0,1,1,0,0,0,0,0,0,0,0,771295.55,0,0,0,0,0,0,0,0,0,0,0,0,147546.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Blue Island 9-1-1,2016,"44,724",(*blank*),(*blank*),(*blank*),156223.49,64718.94,0,0,0,0,479580,0,0,7800,0,1,1,0,2941.96,0,39308.04,0,0,0,0,877642,0,0,0,0,0,0,129192,11508,0,0,1607,4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Bond County 9-1-1,2013,"17,000",Allan Davis,bond911@sbcglobal.net,618-664-1911,95423.65,92991.04,0,0,0,1496.89,0,0,293166,10104.09,5121.62,1,0,2079.38,10997,38600.13,0,2500,3936,0,34890.72,0,0,0,994.16,16915.02,0,3600,1518,0,0,3073.46,4889.49,0,31261.04,0,0,16704,0,184,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Bond County 9-1-1,2014,"17,000",Allan Davis,bond911@sbcglobal.net,618-664-1911,84553.29,84411.12,0,0,0,1127.76,0,0,293709,9575.54,5570.53,1,0,2326,12165.36,35613.74,0,2500,3936,0,36232.67,0,0,0,791.86,18491.77,0,3600,1480.5,0,0,3379,4772.25,1639.47,34653.06,0,0,20180.72,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Bond County 9-1-1,2015,"17,000",Allan Davis,bond911@sbcglobl.net,618-664-1911,92664,76596.69,0,0,0,909.75,0,0,266468,14058.71,6561.85,1,0,0,14081,41082.16,0,2500,3936,0,34890.7,0,0,0,658.92,22113.02,13699,3600,1088,0,0,0,4614.19,3492.55,36098.69,0,0,13166.88,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Bond County 9-1-1,2016,"17,000",(*blank*),bond911@sbcglobal.net,(*blank*),112328.31,71022.74,0,0,0,621,0,0,213635,8155.94,3895.8,1,0,2475,9275,55953.6,0,2500,3936,0,35937.46,0,0,0,450,22890,0,3600,1058,0,0,0,5386,1694,37129.04,0,0,11446,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Bond County 9-1-1,2017,"17,000",Allan Davis,bond911@sbcglobal.net,618-664-1911,205936,0,0,0,0,311,0,0,144789,12662,0,1,0,8901,0,39129,0,2844,7872,1551,37800,0,0,0,522,27491,0,3600,4207,0,0,0,850,0,0,0,0,16259,3049,553,0,0,0,0,0,0,27539,0,0,0,2729,0,7800,0,0,0,3806
61,Bond County 9-1-1,2018,"17,000",Allan Davis,bond911@sbcglobal.net,618-664-1911,262033.54,0,0,0,0,849,0,0,145053.84,0,0,1,0,0,0,34088.55,0,3089.5,3936,1101,39430.86,0,0,0,564,24435.72,0,3600,3984.84,642.35,0,0,5339.96,347.5,10189.05,0,0,3251.86,0,1004,0,0,0,0,0,0,32518.69,21083,0,200,2865,1735.98,7800,19230,0,926.08,3806
62,Bond County 9-1-1,2019,"17,000",Allan Davis,bond911@sbcglobal.net,618-664-1911,266596.82,0,0,0,3000,584.88,0,0,145902.93,0,0,1,0,0,0,41106.67,0,3089.5,0,0,41450.12,0,0,0,336,24201.12,0,3600,3954.99,0,0,0,6097.93,0,12765.98,0,11457.2,3289.78,0,869,0,0,0,0,0,0,101900.66,3044,0,0,2256.29,0,7800,22023.53,0,2049.58,16612
63,Bond County 9-1-1,2020,"17,000",Allan Davis,bond911@sbcglobal.net,618-664-1911,270505.92,0,0,0,50060,546.53,0,0,146537.38,0,0,1,1,0,0,55003,0,39532,3880,0,41200.12,0,0,0,180,24262.12,23493.6,0,4134.78,1160.34,0,0,14895,0,11673.53,0,0,5305.49,0,946,0,0,0,0,0,0,165444.19,803.8,0,0,2875.49,1363.61,15600,2254.65,0,2850.95,3089.5
64,Boone County ETSB,2013,"57,500",Lt. Perry Gay,perrygay@boonecountysheriff.com,815-547-5122,340920.42,121549.53,0,0,0,3022.71,0,0,551247.32,198,0,2,0,17414.4,7389,2131,0,8320,0,0,0,0,0,0,0,0,133440.44,0,0,7179,0,1067,1245,0,138581,0,0,10047,34,1110,0,0,3578,0,64857,0,0,0,0,0,0,0,0,0,0,0,0
65,Boone County ETSB,2014,"57,500",Lt. Perry Gay,perrygay@boonecountysheriff.com,815-547-5122,308197.09,68604.62,0,0,0,1927.05,0,0,656187.62,124,0,2,0,8368.72,838,62445,6960,8320,0,0,0,0,0,0,0,0,101531.5,0,0,10785,0,0,0,0,138665,0,0,19807,24,868,0,0,1746,0,67463,0,0,0,0,0,0,0,0,0,0,0,0
66,Boone County ETSB,2015,"57,500",Perry Gay,perrygay@boonecountysheriff.com,(815) 547-5122,248979.95,47950.98,45784.75,0,0,1799.15,0,0,547988.93,5993.24,5400,2,0,50269.38,0,231184.64,7514.64,47796.17,0,0,0,0,0,69778.2,0,0,0,0,0,9151.32,0,6598.56,43.61,480,104929.84,0,0,5132.59,4873.24,525,0,0,2200.11,0,4750.84,0,0,0,0,0,0,0,0,0,0,0,0
67,Boone County ETSB,2016,"57,500",(*blank*),jeaninekaplan@boonecountysheriff.com,(*blank*),268244.75,48912.24,51063.84,0,0,1848.79,0,0,408782.58,5233.17,18333,2,0,45990.17,4080.02,18925.18,7922.97,82442.06,0,0,0,0,0,0,0,0,0,0,0,11983.32,0,3311.64,234.04,15392.52,103079.89,0,0,12171,8582.8,458,0,0,2249,0,5055.11,0,0,0,0,0,0,0,0,0,0,0,0
68,Boone County ETSB,2017,"53,500",Jeanine Kaplan,jeaninekaplan@boonecountysheriff.com,815-547-6609,397117.34,0,0,0,0,1857.97,0,0,475156.77,3565.13,0,1,0,0,8846.58,0,13671.46,0,0,28969.4,18500.88,0,0,58450.48,0,39026.62,0,0,0,9209.14,0,3915.75,306.32,0,18493.24,0,7200,2384,2721.07,1043,0,0,93.75,0,956.41,0,40771.33,0,0,0,0,0,15485.19,1100,2961,0,0
